english_title,tibetan_title,sanskrit_title,author_english,author_tibetan,canon,short_description,thumbnail_cover,canon_division,volumes,toh_numbers,color,dark_color
"Praise","བསྟོད་ཚོགས།","Stotra / Stava","","","tengyur","Works praising buddhas, bodhisattvas, or points of doctrine.","/pecha-offering-outline-600.png","Praise","Vol. 1","Toh 1109-1179","bg-gray-900/70","dark:bg-gray-900/70"
"Tantra","རྒྱུད།","Tantra","","","tengyur","This is by far the largest division of the Tengyur, containing no less than 2,626 works. The subdivisions follow the structure set out by Zhuchen Tsültrim Rinchen, the 18th century editor of the Degé Tengyur, in his catalog to the collection (Toh 4569). He classifies the divisions and their works from “higher” to “lower.” The initial division is into the four principal classes of tantra, together with a fifth section for works he classifies as common to all four, or with no definite affinity to a single class. The first (and very large) Unexcelled Yoga tantra class is further subdivided into four main groups, with further subdivision in some of them, and the fifth section is subdivided into the collections of which it is largely composed.","/pecha-offering-outline-600.png","Tantra","Vols. 2-xx","Toh 1180-3785","bg-red-900/75","dark:bg-red-900/75"
"Perfection of Wisdom Commentaries","ཤེར་ཕྱིན།","Prajñāpāramitā","","","tengyur","The Indian treatises explaining and commenting on the various Perfection of Wisdom sūtras","/prajnaparamita-outline-600.png","Sūtra & Philosophy","Vols. xx-xx","Toh 3786-3823","bg-yellow-900/75","dark:bg-yellow-900/75"
"Middle Way","དབུ་མ།","Madhyamaka","","","tengyur","The treatises by Nāgārjuna, Āryaveva, Candrakīrti, Buddhapālita, Śāntideva, and other Indian masters on the Madhyamaka (Middle Way) philosophical system.","/pecha-offering-outline-600.png","Sūtra & Philosophy","Vols. xx-xx","Toh 3824-3980","bg-yellow-900/75","dark:bg-yellow-900/75"
"Sūtra Commentaries","མདོ་འགྲེལ།","Sūtrānta","","","tengyur","The Indian commentaries on a number of doctrinally important sūtras (other than those on the Perfection of Wisdom).","/textCovers/buddha-sakyamuni-outline-600.png","Sūtra & Philosophy","Vols. xx-xx","Toh 3981-4019","bg-yellow-900/75","dark:bg-yellow-900/75"
"Mind Only","སེམས་ཙམ།","Cittamātra","","","tengyur","The treatises by Maitreya, Asaṅga, Vasubandhu, and others on Yogācāra-Cittamātra themes, buddha-nature, and other topics.","/pecha-offering-outline-600.png","Sūtra & Philosophy","Vols. xx-xx","Toh 4020-4085","bg-yellow-900/75","dark:bg-yellow-900/75"
"Abhidharma","མངོན་པ།","Abhidharma","","","tengyur","Formal, scholastic treatises including part of the early Sarvāstivādin Abhidharma canon and later commentaries.","/pecha-offering-outline-600.png","Abhidharma","Vols. xx-xx","Toh 4086-4103","bg-yellow-900/75","dark:bg-yellow-900/75"
"Discipline Commentaries","དུས་འཁོར་འགྲེལ་བཤད།","Vinaya","","","tengyur","Commentaries and treatises on the canonical Vinaya texts.","/textCovers/buddha-sakyamuni-outline-600.png","Vinaya","Vols. xx-xx","Toh 4104-4149","bg-blue-950/75","dark:bg-blue-950/75"
"Buddha's Previous Lives","སྐྱེས་རབས།","Jātaka","","","tengyur","The literature recounting stories of the Buddha’s previous lives.","/textCovers/buddha-sakyamuni-outline-600.png","Jātaka","Vols. xx-xx","Toh 4150-4157","bg-gray-900/70","dark:bg-gray-900/70"
"Epistles","སྤྲིང་ཡིག","Lekha","","","tengyur","Advice from the great Indian Buddhist masters in the form of letters written to rulers and others.","/pecha-offering-outline-600.png","Lekha","Vols. xx-xx","Toh 4158-4202","bg-gray-900/70","dark:bg-gray-900/70"
